internal id	Hallmark	Pathway(s)	Source(s)	Genes
264	Sustaining Proliferative Signaling	C MYC Pathway	reactome	ACTL6A, AXIN1, CDKN2A, FBXW7, GSK3B, HBP1, KAT2A, KAT5, MAX, MYC, PAK2, PIN1, PML, PPP2CA, PPP2R5A, RUVBL1, RUVBL2, SKP2, SUPT3H, SUPT7L, TAF10, TAF12, TAF9, TRRAP, ZBTB17
271	Sustaining Proliferative Signaling	CD28 Dependent PI3K/Akt Signaling	reactome	AKT1, AKT2, AKT3, CD28, CD80, CD86, FYN, LCK, MAP3K14, MAP3K8, MAPKAP1, MLST8, MTOR, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PRR5, RICTOR, THEM4, TRIB3
276	Sustaining Proliferative Signaling	CDC42 Signaling Events	inoh	ACTR2, ACTR3, APC, ARHGDIA, ARHGEF6, ARHGEF7, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, ATF2, BAIAP2, BCAR1, BRAF, CBL, CDC42, CDC42BPA, CDH1, CFL1, CTNNA1, CTNNB1, DIAPH3, DLG1, ENAH, EPS8, EXOC7, F2RL2, GSK3B, HES5, HRAS, IQGAP1, IQGAP3, JUN, LIMK1, LIMK2, MAP2K3, MAP2K4, MAP2K6, MAP2K7, MAP3K1, MAP3K11, MAPK1, MAPK14, MAPK3, MAPK8, MAPK9, MTOR, MYL2, PAK1, PAK2, PAK4, PARD6A, PAX6, PIK3CA, PIK3R1, PLD1, PLPP1, PRKCE, PRKCZ, RAC1, RAF1, RASGRF1, RPS6KB1, SEPT2, SRC, TIAM1, TNK2, VAV2, WASL, YES1
330	Sustaining Proliferative Signaling	Cell Cycle	reactome	CCND2, CCND3, CCNE1, CCNE2, CINP, PSMD11, PSMD12, PSMD13, PSMD14, PSMD3, PSMD4, PSMD7, PSME3, RPA3
1775	Sustaining Proliferative Signaling	Cell Division	humancyc	KIF20A, KIF23, NUDC, PLK1
353	Sustaining Proliferative Signaling	Class I PI3K Signaling Events	reactome	ADAP1, AKT1, ARAP3, ARF1, ARF5, ARF6, BLK, BLNK, BTK, CYTH1, CYTH2, CYTH3, DAPP1, FGR, FOXO3, FYN, HCK, HRAS, HSP90AA1, INPP5D, INPPL1, ITK, KRAS, LAT, LCK, LYN, NRAS, PDPK1, PIK3CA, PIK3CB, PIK3CG, PIK3R1, PIK3R6, PLCG1, PLCG2, PLEKHA1, PLEKHA2, PTEN, RAC1, RAP1A, RHOA, SGK1, SRC, SYK, YES1, ZAP70
354	Sustaining Proliferative Signaling	Class I PI3K Signaling Events Mediated By Akt	reactome	AKT1, AKT2, AKT3, BAD, BCL2L1, CASP9, CDKN1A, CDKN1B, CHUK, FOXO1, FOXO3, FOXO4, GSK3A, GSK3B, HSP90AA1, KPNA1, MAP3K5, MAPKAP1, MLST8, MTOR, PDPK1, PRKACA, PRKDC, RAF1, RICTOR, SFN, SLC2A4, SRC, TBC1D4, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
355	Sustaining Proliferative Signaling	Class IB PI3K Non Lipid Kinase Events	pid	MAP2K1, MAPK1, PDE3B, PIK3CG, PIK3R6
378	Sustaining Proliferative Signaling	Constitutive Signaling By Aberrant PI3K In Cancer	reactome	BTC, CD19, CD28, CD80, CD86, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, FGF1, FGF10, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, FYN, GAB1, GRB2, HBEGF, IRS1, IRS2, KIT, KITLG, KL, KLB, LCK, NRG1, NRG2, NRG3, NRG4, PDGFA, PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PTPN11, TRAT1, VAV1
377	Sustaining Proliferative Signaling	Constitutive Signaling By AKT1 E17K In Cancer	reactome	AKT1, AKT1S1, AKT2, AKT3, BAD, CASP9, CDKN1A, CDKN1B, CHUK, CREB1, FOXO1, FOXO3, FOXO4, GSK3A, GSK3B, MAPKAP1, MDM2, MLST8, MTOR, NR4A1, PDPK1, PRR5, RICTOR, RPS6KB2, TSC2
379	Sustaining Proliferative Signaling	Constitutive Signaling By EGFRvIII	reactome	CBL, CDC37, EGF, EGFR, GAB1, GRB2, HRAS, HSP90AA1, KRAS, NRAS, PIK3CA, PIK3R1, PLCG1, SHC1, SOS1
380	Sustaining Proliferative Signaling	Constitutive Signaling By Ligand Responsive EGFR Cancer Variants	reactome	CBL, CDC37, EGF, EGFR, GAB1, GRB2, HRAS, HSP90AA1, KRAS, NRAS, PIK3CA, PIK3R1, PLCG1, RPS27A, SHC1, SOS1, UBA52, UBB, UBC
293	Sustaining Proliferative Signaling	CREB Phosphorylation Through The Activation Of Ras	reactome	BRAF, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CREB1, MAPK1, RAF1, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6, RRAS
394	Sustaining Proliferative Signaling	Cyclin A:Cdk2 Associated Events At S Phase Entry	reactome	CCNA1, CCNA2, CCNH, CDC25A, CDC25B, CDK2, CDK7, CDKN1A, CDKN1B, FZR1, MAX, MNAT1, MYC, RB1, WEE1
476	Sustaining Proliferative Signaling	Downstream Signaling In Naïve CD8+ T Cells	reactome	B2M, BRAF, CALM1, CALM2, CALM3, CD247, CD3D, CD3E, CD3G, CD8A, CD8B, EGR1, EGR4, ELK1, EOMES, FASLG, FOS, FOSL1, GZMB, HLA-A, HRAS, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNG, IL2, IL2RA, IL2RB, IL2RG, JUN, JUNB, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MAPK8, MAPK9, NFATC1, NFATC2, NFATC3, NRAS, PIK3CA, PRF1, PRKCA, PRKCB, PRKCE, PRKCQ, PTPN7, RAF1, STAT4, TNF, TNFRSF18, TNFRSF4, TNFRSF9, TRAC, TRBC1
477	Sustaining Proliferative Signaling	Downstream Signaling Of Activated FGFR1	reactome	FGF1, FGF10, FGF17, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF8, FGF9, FGFR1, FLRT1, FLRT2, FLRT3, KL
480	Sustaining Proliferative Signaling	Drosophila Toll Like Receptor Signaling ( Drosophila Toll Like Receptor Signaling )	reactome	ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADAM10, ADAM17, ADRBK1, ADRBK2, AKT1, AKT2, AKT3, ALK, AMHR2, APH1A, APH1B, ARAF, BMP1, BMPR1A, BMPR1B, BMPR2, BRAF, BTK, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CASP1, CASP10, CASP14, CASP2, CASP3, CASP4, CASP5, CASP6, CASP7, CASP8, CASP9, CCNH, CDC7, CDK1, CDK2, CDK3, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, CHUK, CNDP1, CSK, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CSNK1G2, CSNK1G3, EGFR, ESPL1, F2, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, FURIN, FYN, GFRA1, GRK4, GRK5, GRK6, GRK7, GSK3A, GSK3B, GZMB, IGF1R, IKBKB, IKBKE, IKBKG, INSR, IRAK1, IRAK2, IRAK4, ITK, JAK1, JAK2, JAK3, KDR, KIT, KLK3, LCK, LTK, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K5, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K11, MAP3K12, MAP3K13, MAP3K14, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAP3K8, MAP3K9, MAP4K2, MAP4K3, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK3, MAPKAPK5, MET, MKNK1, MNAT1, MOS, MTOR, NCSTN, NGFR, NLK, NTRK1, PAK1, PAK2, PAK4, PAK6, PAK7, PDGFRA, PDGFRB, PDPK1, PLK1, PLK3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKACA, PRKACB, PRKACG, PRKAG1, PRKAG2, PRKAG3, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRKG1, PRKG2, PSEN1, PSEN2, PSENEN, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PTK2, PTK2B, RAF1, RHBDL1, RHBDL2, RIPK1, RIPK2, RIPK3, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6, RPS6KB1, RPS6KB2, RYK, SRC, SYK, TEC, TGFBR1, TGFBR2, TLL1, TLL2, TYK2, WEE1, ZAP70
493	Sustaining Proliferative Signaling	EGF Signaling Pathway ( EGF Signaling Pathway Diagram )	reactome	EGF, EGFR, GRB2, HRAS, KRAS, MAP3K1, NRAS, RAF1, SHC1, SHC2, SHC3, SOS1, SOS2
494	Sustaining Proliferative Signaling	EGF Signaling Pathway (D. Melanogaster) ( EGF Signaling Pathway Diagram ) // FGF Signaling Pathway (D. Melanogaster Tracheal Cells) ( FGF Signaling Pathway (D. Melanogaster) )	reactome	SFN, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
498	Sustaining Proliferative Signaling	EGFR1	reactome	ABI1, ABL1, ABL2, ACP1, ACTA2, ACTB, ACTN1, ACTN4, ACTR2, ACTR3, ADAM17, ADAM9, ADRBK1, AFAP1L2, AHCYL1, AHNAK, AKT1, ALB, ALDOA, ANKS1A, ANTXR1, ANXA1, ANXA2, ANXA4, AP2A1, AP2B1, AP2S1, APLP2, APP, APPL1, APPL2, ARAF, ARAP1, ARF4, ARHGAP32, ARHGAP35, ARHGAP42, ARHGAP5, ARHGEF4, ARHGEF5, ARHGEF7, ASAP1, ASAP3, ATF1, ATP1A1, ATP5C1, ATXN2, AXL, BAD, BAIAP2, BAIAP2L1, BCAR1, BCAR3, BCL2, BRAF, C11orf52, CALCOCO2, CALD1, CALM1, CALM2, CALM3, CAMK2A, CASKIN2, CASP9, CAV1, CAV2, CBL, CBLB, CBLC, CC2D1A, CCDC50, CD59, CDC42, CDH1, CDH2, CDH3, CDK1, CDK2, CDK5, CDKN3, CDV3, CEACAM1, CEBPA, CEBPB, CFL1, CLTA, CLTC, COL17A1, CREB1, CRIM1, CRK, CRKL, CSK, CSTB, CTBP1, CTNNAL1, CTNND1, CTTN, CYLD, CYSRT1, DAB2, DAPP1, DCBLD2, DDX3X, DDX6, DLG3, DNM1, DOCK1, DOCK4, DOK1, DOK2, DSG2, DSP, DUSP1, DYNLL1, DYRK1A, DYRK1B, DYRK3, DYRK4, EEF1A1, EEF1A2, EFNB2, EGF, EGFR, EIF4EBP1, EIF4G1, ELF3, ELK1, ELK4, ELMO2, ENO1, ENSA, EPHA1, EPHA2, EPHA4, EPHB1, EPHB2, EPHB3, EPHB4, EPN1, EPN2, EPN3, EPPK1, EPS15, EPS15L1, EPS8, ERBB2, ERBB2IP, ERBB3, ERRFI1, ESYT1, FLNB, FLOT1, FLOT2, FOS, FOXO1, FOXO4, FRK, FRS2, FRS3, FYN, GAB1, GAB2, GAREM1, GIT1, GIT2, GJA1, GPRC5A, GRB10, GRB14, GRB2, GRB7, GSK3A, GSK3B, GSN, HAT1, HDAC1, HGS, HIP1, HIPK2, HIPK3, HIST3H3, HNRNPA1, HNRNPDL, HNRNPR, HRAS, HSPA4, HSPE1, HTT, HUWE1, IL17RD, INPPL1, INSR, IQGAP1, IRS2, ITCH, ITGA3, ITGB1, ITGB4, ITLN2, ITSN2, JAK1, JAK2, JUN, JUND, JUP, KHDRBS1, KIAA1217, KIRREL, KIT, KLF11, KRAS, KRT17, KRT18, KRT5, KRT6A, KRT7, KRT8, KSR1, LAPTM4A, LCK, LDHA, LDLR, LIMD1, LPP, LSR, LYN, MAGI1, MAP2K1, MAP2K2, MAP2K3, MAP2K5, MAP2K7, MAP3K1, MAP3K14, MAP3K2, MAP3K3, MAP3K4, MAP4K1, MAP4K5, MAPK1, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MARVELD2, MCF2, MET, MINK1, MPRIP, MPZL1, MT-CO2, MTA2, MTOR, MVP, MYC, MYH9, MYL12B, MYO6, NCK1, NCK2, NCOA3, NDUFA13, NEDD4, NEDD9, NFKB1, NOS3, OTUD6B, PAK1, PARD3, PDCD6IP, PDGFRB, PDLIM1, PDLIM4, PDPK1, PDZD11, PEBP1, PFN1, PGAM1, PHLDB2, PHLPP1, PHPT1, PIAS3, PIK3C2B, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PITPNA, PKM, PKN2, PKP2, PKP3, PKP4, PLCE1, PLCG1, PLCG2, PLD1, PLD2, PLEC, PLEKHA5, PLEKHA6, PLEKHN1, PLSCR1, PPP1R12A, PPP1R14B, PPP2R3A, PRKAA1, PRKAA2, PRKAR1A, PRKCA, PRKCB, PRKCD, PRKCG, PRKCI, PRKCZ, PRKD1, PRKX, PRPF4B, PTEN, PTK2, PTK2B, PTK6, PTPN1, PTPN11, PTPN12, PTPN18, PTPN23, PTPN5, PTPN6, PTPRA, PTPRE, PTPRF, PTPRK, PTPRR, PTRF, PTTG1IP, PVRL1, PXN, PYGB, RAB5A, RAC1, RACGAP1, RAF1, RALA, RALB, RALBP1, RALGDS, RAP1A, RASA1, RBBP7, RBCK1, RBM3, RELA, REPS1, REPS2, RFXANK, RGS16, RHOA, RICTOR, RIN1, RIPK1, RPL30, RPLP0, RPS10, RPS2, RPS27L, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA5, RPS6KB1, S100A10, S100A11, S100A14, SCAMP3, SCRIB, SDC1, SDC3, SDC4, SDCBP, SDPR, SERPINB3, SFPQ, SH2B1, SH2D2A, SH2D3C, SH3BGRL, SH3GL2, SH3GL3, SH3KBP1, SHB, SHC1, SIAH1, SIAH2, SIRPA, SLC12A7, SLC25A6, SLC38A2, SLC5A5, SLITRK6, SMAD2, SMAD3, SMU1, SNCA, SNRPD2, SNX33, SNX5, SOCS1, SOCS3, SOS1, SOS2, SP1, SPG20, SPRY1, SPRY2, SPRY3, SPRY4, SRC, SRI, STAM, STAM2, STAMBP, STAT1, STAT2, STAT3, STAT5A, STAT5B, STIP1, STK11, STX4, STXBP1, TAGLN2, TFG, TFRC, TGIF1, TJP2, TKT, TLN1, TNIP1, TNK2, TNS1, TNS2, TNS3, TNS4, TOLLIP, TOM1, TOM1L1, TOM1L2, TP53, TRIM29, TRIP6, TYK2, UBASH3B, UBB, USP31, USP6NL, VASP, VAV1, VAV2, VAV3, VCL, VIM, WASL, WBP2, WNK1, YWHAB, YWHAZ, ZDHHC5, ZFYVE16, ZPR1
532	Sustaining Proliferative Signaling	Energy Dependent Regulation Of MTOR By LKB1 AMPK	reactome	CAB39, CAB39L, LAMTOR1, LAMTOR2, LAMTOR3, LAMTOR4, LAMTOR5, MLST8, MTOR, PPM1A, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, RHEB, RPTOR, RRAGA, RRAGB, RRAGC, RRAGD, STK11, STRADA, STRADB, TSC1, TSC2
540	Sustaining Proliferative Signaling	ErbB Receptor Signaling Network	pid	AREG, BTC, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, HBEGF, HSP90AA1, NRG1, NRG2, NRG3, NRG4, TGFA
539	Sustaining Proliferative Signaling	ErbB Signaling Pathway	pid	BCL2L11, CDKN1B, MAP2K7, MTOR, MYC, PAK4, PDK1, RPS6KB1, TP53
541	Sustaining Proliferative Signaling	ErbB1 Downstream Signaling	mirtarbase	ABI1, ACTR2, ACTR3, AKT1, ARF4, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, ATF1, ATF2, BAD, BAIAP2, BCL2L1, BRAF, BRK1, CALM1, CALM2, CALM3, CAPN2, CDC42, CHN2, CREB1, CYFIP2, DIAPH3, DUSP1, DUSP6, EGF, EGFR, EGR1, ELK1, EPS8, F2RL2, FOS, GAB1, GRB2, HRAS, IQGAP1, JUN, KRAS, KSR1, MAP2K1, MAP2K2, MAP2K4, MAP2K5, MAP3K1, MAP3K2, MAPK1, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAP1, MEF2C, MLST8, MTOR, MYLPF, NCKAP1, NRAS, PDPK1, PEBP1, PIK3CA, PIK3CB, PIK3R1, PLD1, PLD2, PPP2CA, PPP2R1A, PPP2R2A, PPP5C, PRKCA, PRKCD, PRKCZ, RAB5A, RAC1, RAF1, RALA, RALGDS, RICTOR, RIN1, RPS6, RPS6KA3, RPS6KA4, RPS6KA5, SFN, SH2D2A, SLC9A1, SMAD1, SOS1, SRC, SRF, STAT1, STAT3, USP6NL, VAV2, WASF2, WASL, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZFP36
510	Sustaining Proliferative Signaling	ERBB2 Activates PTK6 Signaling // Signaling By ERBB4	inoh	BTC, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, HBEGF, NRG1, NRG2, NRG3, NRG4, PTK6
511	Sustaining Proliferative Signaling	ERBB2 Regulates Cell Motility	reactome	BTC, DIAPH1, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, HBEGF, MEMO1, NRG1, NRG2, NRG3, NRG4, RHOA
542	Sustaining Proliferative Signaling	ErbB2/ErbB3 Signaling Events	wikipathways	AKT1, BAD, CDC42, CHRNA1, CHRNE, DOCK7, ERBB2, ERBB3, FOS, GRB2, HRAS, JAK2, JUN, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MTOR, NF2, NFATC4, NRAS, NRG1, NRG2, PIK3CA, PIK3CB, PIK3R1, PPP3CB, PRKACA, PTPN11, RAC1, RAF1, RNF41, SHC1, SOS1, SRC, STAT3, USP8
543	Sustaining Proliferative Signaling	ErbB4 Signaling Events	pid	ADAM17, BTC, CBFA2T3, DLG4, ERBB2, ERBB4, EREG, FYN, GRB2, GRIN2B, HBEGF, ITCH, JAK2, LRIG1, MAPK1, MAPK3, MDM2, NCOR1, NEDD4, NRG1, NRG2, NRG3, NRG4, PIK3CA, PIK3CB, PIK3R1, PRL, PRLR, SHC1, STAT5A, STAT5B, TAB2, WWOX, WWP1, YAP1
