internal id	Hallmark	Pathway(s)	Source(s)	Genes
79	Sustaining Proliferative Signaling	Activated Point Mutants Of FGFR2 // Phospholipase C Mediated Cascade; FGFR2	reactome	FGF1, FGF10, FGF16, FGF17, FGF18, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR2, PLCG1
1764	Sustaining Proliferative Signaling	Activated TAK1 Mediates P38 MAPK Activation	reactome	IKBKG, IRAK1, IRAK2, MAP2K3, MAP2K6, MAP3K7, MAPK11, MAPK14, MAPKAPK2, MAPKAPK3, NOD1, NOD2, RIPK2, TAB1, TAB2, TAB3, TRAF6
97	Sustaining Proliferative Signaling	Activation Of RAS In B Cells	reactome	HRAS, KRAS, NRAS, RASGRP1, RASGRP3
37	Sustaining Proliferative Signaling	AKT(PKB) Activation Signaling ( IGF1 Signaling Pathway ) // AKT(PKB) Activation Signaling ( Insulin Receptor Signaling (D. Melanogaster) ) // AKT(PKB) Activation Signaling ( PDGF Signaling Pathway )	inoh	AKT1, AKT2, AKT3, PDPK1, PIK3CA, PIK3CB, PIK3CD
38	Sustaining Proliferative Signaling	AKT(PKB) Activation Signaling ( Insulin Receptor Signaling (Mammal) )	inoh	AKT1, AKT2, AKT3, MAPKAP1, MLST8, MTOR, PDPK1, PIK3CA, PIK3CB, PIK3CD, RICTOR, TSC1, TSC2
39	Sustaining Proliferative Signaling	AKT(PKB) Bad Signaling ( EPO Signaling Pathway(JAK2 STAT1 STAT3 STAT5) ) // AKT(PKB) Bad Signaling ( IL 7 Signaling(JAK1 JAK3 STAT5) ) // Positive Regulation Of (Transcription Of SOCS By STAT Dimer) In JAK STAT Pathway ( JAK STAT Pathway And Regulation Pathway Diagram ) // VEGF Signaling Pathway ( VEGF Signaling Pathway )	inoh	ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, ADRBK1, ADRBK2, AKT1, AKT2, AKT3, ALK, AMHR2, ARAF, BAD, BMPR1A, BMPR1B, BMPR2, BRAF, BTK, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CCNH, CDC7, CDK1, CDK2, CDK3, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, CHUK, CSK, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CSNK1G2, CSNK1G3, EGFR, FGFR1, FGFR2, FGFR3, FGFR4, FIGF, FLT1, FLT4, FYN, GFRA1, GRK4, GRK5, GRK6, GRK7, GSK3A, GSK3B, IGF1R, IKBKB, IKBKE, IKBKG, INSR, IRAK1, IRAK2, IRAK4, ITK, JAK1, JAK2, JAK3, KDR, KIT, LCK, LTK, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K5, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K11, MAP3K12, MAP3K13, MAP3K14, MAP3K2, MAP3K3, MAP3K5, MAP3K7, MAP3K8, MAP3K9, MAP4K2, MAP4K3, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MAPKAPK3, MAPKAPK5, MET, MKNK1, MNAT1, MOS, MTOR, NGFR, NLK, NTRK1, PAK1, PAK2, PAK4, PAK6, PAK7, PDGFRA, PDGFRB, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLCG2, PLK1, PLK3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKACA, PRKACB, PRKACG, PRKAG1, PRKAG2, PRKAG3, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRKG1, PRKG2, PTK2, PTK2B, RAF1, RIPK1, RIPK2, RIPK3, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6, RPS6KB1, RPS6KB2, RYK, SH2D2A, SRC, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, SYK, TEC, TGFBR1, TGFBR2, TYK2, VEGFA, VEGFB, VEGFC, WEE1, YWHAQ, ZAP70
42	Sustaining Proliferative Signaling	AKT(PKB) MTOR Signaling ( Insulin Receptor Signaling (Mammal) ) // AKT(PKB) TOR Signaling ( Insulin Receptor Signaling (D. Melanogaster) )	inoh	AKT1, AKT2, AKT3, EIF4A1, EIF4A2, EIF4E, EIF4EBP1, EIF4G1, EIF4G3, MTOR, PTEN, RHEB, RPS6, RPS6KB1, TSC2
166	Sustaining Proliferative Signaling	Angiogenesis	panther	AKT1, AKT2, AKT3, ANGPT1, ANGPT2, APC, APC2, ARAF, ARHGAP1, ARHGAP8, AXIN1, BIRC5, BRAF, CASP9, CRK, CRKL, CTNNB1, DLK1, DLL3, DLL4, DOK2, DVL1, DVL2, DVL3, EFNB1, EFNB2, EPHB1, EPHB2, EPHB3, ETS1, F2R, F3, F7, FGF1, FGFR1, FOS, FRS2, FZD1, FZD2, FZD3, FZD5, GRB14, GRB7, GSK3B, HIF1A, HRAS, HSPB1, JAG1, JAG2, JAK1, JUN, KDR, MAP2K1, MAP2K2, MAP2K4, MAP3K1, MAPK1, MAPK14, MAPK3, MAPK8, MAPKAPK2, MAPKAPK3, NCK1, NCK2, NOS3, NOTCH1, NOTCH2, NOTCH4, NRAS, PAK1, PAK2, PAK3, PDGFA, PDGFB, PDGFC, PDGFD, PDGFRA, PDGFRB, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLCG1, PLCG2, PLD1, PLD2, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKD3, PTK2, PTPRB, PXN, RAF1, RASA1, RBPJ, RBPJL, RHOA, RHOB, RHOC, SH2D2A, SHC1, SHC2, SOS1, SPDYE7P, SPHK1, SPHK2, SRC, STAT1, STAT3, TCF7, TCF7L2, TEK, VEGFA, WNT1, WNT10A, WNT10B, WNT2, WNT2B, WNT5A, WNT5B, WNT7A, WNT7B
55	Sustaining Proliferative Signaling	ARMS Mediated Activation	reactome	BRAF, CRK, KIDINS220, NGF, NTRK1, RAP1A, YWHAB
219	Sustaining Proliferative Signaling	BCR	reactome	AKT1, ATF2, ATP2B4, BANK1, BAX, BCAR1, BCL10, BCL2, BCL2L11, BCL6, BLK, BLNK, BRAF, BTK, BTLA, CARD11, CASP3, CASP7, CASP9, CBL, CBLB, CCL3, CCL4, CCNA2, CCND2, CCND3, CCNE1, CD19, CD22, CD5, CD72, CD79A, CD79B, CD81, CDK2, CDK4, CDK6, CDK7, CHST15, CHUK, CMTM3, CR2, CREB1, CRK, CRKL, CSK, CTNNB1, CYCS, DAPP1, DBNL, DNM2, DOK1, DOK3, EIF4EBP1, ELK1, FCGR2B, FOS, FOSB, FOXO1, FOXO3, FYN, GAB1, GAB2, GRB2, GSK3A, GSK3B, GTF2I, HCK, HCLS1, HDAC5, HDAC7, HNRNPK, IFITM1, IGHM, IKBKB, IKBKG, INPP5D, ITK, ITPR1, ITPR2, JUN, JUNB, LAT2, LCK, LCP2, LIME1, LYN, MALT1, MAP2K1, MAP2K2, MAP3K7, MAP4K1, MAPK1, MAPK14, MAPK3, MAPK4, MAPK8, MAPK9, MAPKAPK2, NCK1, NEDD9, NFATC2, NFATC3, NFKB1, NFKBIA, PDPK1, PIK3AP1, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIP4K2A, PIP4K2B, PIP4K2C, PIP5K1A, PIP5K1B, PIP5K1C, PLCG1, PLCG2, PLEKHA1, PLEKHA2, PRKCB, PRKCD, PRKCE, PRKCQ, PRKD1, PTK2, PTK2B, PTPN11, PTPN18, PTPN6, PTPRC, RAF1, RAP2A, RAPGEF1, RASA1, RASGRP3, RB1, REL, RELA, RPS6, RPS6KA1, RPS6KB1, RRAS2, SH2B2, SH3BP2, SHC1, SLA2, SOS1, SOS2, STAP1, STAT1, STAT3, SYK, TCL1A, TEC, VASP, VAV1, VAV2, WAS, ZAP70
